RAINFALL,TREATMENT
1202.60,UNSEEDED
830.10,UNSEEDED
372.40,UNSEEDED
345.50,UNSEEDED
321.20,UNSEEDED
244.30,UNSEEDED
163.00,UNSEEDED
147.80,UNSEEDED
95.00,UNSEEDED
87.00,UNSEEDED
81.20,UNSEEDED
68.50,UNSEEDED
47.30,UNSEEDED
41.10,UNSEEDED
36.60,UNSEEDED
29.00,UNSEEDED
28.60,UNSEEDED
26.30,UNSEEDED
26.10,UNSEEDED
24.40,UNSEEDED
21.70,UNSEEDED
17.30,UNSEEDED
11.50,UNSEEDED
4.90,UNSEEDED
4.90,UNSEEDED
1.00,UNSEEDED
2745.60,SEEDED
1697.80,SEEDED
1656.00,SEEDED
978.00,SEEDED
703.40,SEEDED
489.10,SEEDED
430.00,SEEDED
334.10,SEEDED
302.80,SEEDED
274.70,SEEDED
274.70,SEEDED
255.00,SEEDED
242.50,SEEDED
200.70,SEEDED
198.60,SEEDED
129.60,SEEDED
119.00,SEEDED
118.30,SEEDED
115.30,SEEDED
92.40,SEEDED
40.60,SEEDED
32.70,SEEDED
31.40,SEEDED
17.50,SEEDED
7.70,SEEDED
4.10,SEEDED
